system:index,area,class_id,class_name,territory,version,year,.geo
0_0_0,115996.6157154638,3,Leñosas Cerradas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_1,3918.9830366693473,4,Leñosas Abiertas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_2,212.93838078697826,6,Leñosas Inundables,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_3,15.647604319668643,11,Pastizal Inundable,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_4,285.79001146415175,15,Pasturas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_5,330.3519182362382,23,Playa y Dunas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_6,46.66421784450498,24,Infraestructura Urbana,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_7,6.353360433834773,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_8,415.09841159061534,26,Cuerpo de agua,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_9,1.2665214423217763,32,Salinas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_10,0.1059307541503906,36,Cultivos Arbustivos,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_11,183.40206461482447,42,Pastizal Abierto,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_12,491.85257716398394,43,Pastizal Cerrado,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_13,668.1804348902951,57,Cultivos Simples,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_14,0.03488741064453125,58,Cultivos Multiples,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_0,116103.86815284798,3,Leñosas Cerradas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_1,3764.3715997536124,4,Leñosas Abiertas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_2,206.25381330393265,6,Leñosas Inundables,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_3,16.4189580334681,11,Pastizal Inundable,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_4,286.91747256511223,15,Pasturas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_5,319.0010832102788,23,Playa y Dunas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_6,55.53017778986611,24,Infraestructura Urbana,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_7,8.699975631141095,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_8,424.91529292262686,26,Cuerpo de agua,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_9,1.5226541456298812,32,Salinas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_10,0.03611899865722654,36,Cultivos Arbustivos,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_11,160.77517025399197,42,Pastizal Abierto,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_12,434.1418779835091,43,Pastizal Cerrado,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_13,790.6340403684068,57,Cultivos Simples,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_14,0.1986852776489258,58,Cultivos Multiples,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_0,116135.32749703659,3,Leñosas Cerradas,0.0,col5-v2-bol-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_1,3688.610007262319,4,Leñosas Abiertas,0.0,col5-v2-bol-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_2,207.47524152084225,6,Leñosas Inundables,0.0,col5-v2-bol-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_3,15.17185274928745,11,Pastizal Inundable,0.0,col5-v2-bol-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
