,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_1,LEVEL_2,LEVEL_3
28,0_2_0,15576.835490236355,3,Leñosas Cerradas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
29,0_2_1,352.440075400704,4,Leñosas Abiertas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
30,0_2_2,0.4854833485078698,6,Leñosas Inundables,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
31,0_2_3,10.497447935938697,11,Pastizal Inundable,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
32,0_2_4,0.0996465244267482,15,Pasturas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
33,0_2_5,70.0698610875061,23,Playa y Dunas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
34,0_2_6,1.527021766533104,24,Infraestructura Urbana,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
35,0_2_7,2.513564458096368,25,Otras Areas No Vegetadas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
36,0_2_8,149.3530554040862,26,Cuerpo de agua,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
37,0_2_9,1.2510341364164477,42,Pastizal Abierto,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
38,0_2_10,46.825472244150056,43,Pastizal Cerrado,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
39,0_2_11,152.63907086070247,57,Cultivos Simples,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Tarija,
40,1_0_0,9121.496866592595,3,Leñosas Cerradas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
41,1_0_1,128.28765563003398,4,Leñosas Abiertas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
42,1_0_2,1.954658111206063,6,Leñosas Inundables,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
43,1_0_3,1.6642187789916978,11,Pastizal Inundable,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
44,1_0_4,0.0686881240844726,15,Pasturas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
45,1_0_5,4.510540865800922,23,Playa y Dunas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
46,1_0_6,0.4612711488037087,24,Infraestructura Urbana,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
47,1_0_7,0.6634655933256267,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
48,1_0_8,8.114353324400907,26,Cuerpo de agua,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
49,1_0_9,1.0605484084740735,42,Pastizal Abierto,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
50,1_0_10,81.81548686370297,43,Pastizal Cerrado,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
51,1_0_11,82.79409287400283,57,Cultivos Simples,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,
52,1_1_0,91433.74622849042,3,Leñosas Cerradas,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
53,1_1_1,3308.123287029496,4,Leñosas Abiertas,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
54,1_1_2,203.88928256138175,6,Leñosas Inundables,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
55,1_1_3,4.320282719229197,11,Pastizal Inundable,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
56,1_1_4,286.70429432364455,15,Pasturas,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
57,1_1_5,243.9119438274746,23,Playa y Dunas,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
58,1_1_6,53.57359803688279,24,Infraestructura Urbana,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
59,1_1_7,3.2702375285716383,25,Otras Areas No Vegetadas,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
60,1_1_8,270.4264466696036,26,Cuerpo de agua,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
61,1_1_9,1.5226541456298814,32,Salinas,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
62,1_1_10,0.0361189986572265,36,Cultivos Arbustivos,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
63,1_1_11,158.6449573496451,42,Pastizal Abierto,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
64,1_1_12,310.95225194959625,43,Pastizal Cerrado,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
65,1_1_13,496.5361889282555,57,Cultivos Simples,1.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,
