system:index,area,class_id,class_name,territory,version,year,.geo
1_0_14,698.8538845192707,44,Pastizal Disperso,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_15,14481.542264258074,45,Leñosas Dispersas,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_16,40626.54224378679,57,Cultivos Simples,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_17,117.24156564744504,58,Cultivos Multiples,0.0,col5-v2-chaco-level_bioma-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_0,681461.0178303716,3,Leñosas Cerradas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_1,75880.88905142335,4,Leñosas Abiertas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_2,68956.99168802827,6,Leñosas Inundables,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_3,706.8126108565774,9,Leñosas Cultivadas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_4,93908.0362066282,11,Pastizal Inundable,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_5,24985.598625004557,15,Pasturas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_6,703.3976439097335,23,Playa y Dunas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_7,2378.329986940745,24,Infraestructura Urbana,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_8,360.0063221227242,25,Otras Areas No Vegetadas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_9,9948.215618471639,26,Cuerpo de agua,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2_0_10,4900.139056617695,32,Salinas,0.0,col5-v2-chaco-level_bioma-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
