,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_1,LEVEL_2,LEVEL_3
0,0_0_0,7480.9802964050095,3,Leñosas Cerradas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
1,0_0_1,124.6955541515711,4,Leñosas Abiertas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
2,0_0_2,2.025768869201669,6,Leñosas Inundables,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
3,0_0_3,1.6658908209838854,11,Pastizal Inundable,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
4,0_0_4,0.2789799741210937,15,Pasturas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
5,0_0_5,3.668297390380866,23,Playa y Dunas,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
6,0_0_6,0.0167352792358398,24,Infraestructura Urbana,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
7,0_0_7,1.0026244345092754,26,Cuerpo de agua,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
8,0_0_8,0.0939727816772462,42,Pastizal Abierto,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
9,0_0_9,12.292043702262683,43,Pastizal Cerrado,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
10,0_0_10,13.634660519164813,57,Cultivos Simples,0.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Macharetí
11,0_1_0,398.6585423648093,3,Leñosas Cerradas,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
12,0_1_1,17.30176228825416,4,Leñosas Abiertas,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
13,0_1_2,0.1232797623291013,23,Playa y Dunas,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
14,0_1_3,0.0662665386962891,26,Cuerpo de agua,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
15,0_1_4,0.0109060018310546,36,Cultivos Arbustivos,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
16,0_1_5,0.0929382191162109,42,Pastizal Abierto,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
17,0_1_6,15.83979252981455,43,Pastizal Cerrado,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
18,0_1_7,4.681974950466731,57,Cultivos Simples,1.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Huacaya
19,0_2_0,925.5187141137542,3,Leñosas Cerradas,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
20,0_2_1,0.5629353031616214,4,Leñosas Abiertas,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
21,0_2_2,0.2771335307006833,23,Playa y Dunas,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
22,0_2_3,0.416752310241697,24,Infraestructura Urbana,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
23,0_2_4,2.334198176378433,26,Cuerpo de agua,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
24,0_2_5,0.1965206095581054,42,Pastizal Abierto,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
25,0_2_6,43.13496857979794,43,Pastizal Cerrado,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
26,0_2_7,32.74428665289756,57,Cultivos Simples,2.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Villa Vaca Guzmán (Muyupampa)
27,0_3_0,267.3002964396072,3,Leñosas Cerradas,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
28,0_3_1,0.9536707088881556,23,Playa y Dunas,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
29,0_3_2,0.367981052202292,25,Otras Areas No Vegetadas,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
30,0_3_3,3.3942458678339964,26,Cuerpo de agua,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
31,0_3_4,0.490814878324382,42,Pastizal Abierto,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
32,0_3_5,14.049193660145564,43,Pastizal Cerrado,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
33,0_3_6,1.090454193517346,57,Cultivos Simples,3.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,San Pablo de Huacareta
34,0_4_0,2.7175232360629256,3,Leñosas Cerradas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
35,0_4_1,0.0025100068359375,4,Leñosas Abiertas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
36,0_4_2,0.7471505847323533,23,Playa y Dunas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
37,0_4_3,0.2559730430764593,25,Otras Areas No Vegetadas,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
38,0_4_4,0.95441032035822,26,Cuerpo de agua,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
39,0_4_5,0.1785146004897172,42,Pastizal Abierto,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
40,0_4_6,0.1996678705791397,43,Pastizal Cerrado,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
41,0_4_7,0.3960646971495385,57,Cultivos Simples,4.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Culpina
42,0_5_0,52.88519741143748,3,Leñosas Cerradas,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
43,0_5_1,0.026682976515108,4,Leñosas Abiertas,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
44,0_5_2,0.1813050893121454,23,Playa y Dunas,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
45,0_5_3,0.3992103521302462,26,Cuerpo de agua,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
46,0_5_4,0.0436932377929687,42,Pastizal Abierto,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
47,0_5_5,2.1704771980961843,43,Pastizal Cerrado,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
48,0_5_6,1.7712827461669918,57,Cultivos Simples,5.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Chuquisaca,Monteagudo
49,0_6_0,833.0490109171673,3,Leñosas Cerradas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
50,0_6_1,0.0194659568481445,4,Leñosas Abiertas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
51,0_6_2,2.730816671563112,23,Playa y Dunas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
52,0_6_3,0.0220208869018554,25,Otras Areas No Vegetadas,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
53,0_6_4,6.18328481414438,26,Cuerpo de agua,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
54,0_6_5,0.8937761554744936,42,Pastizal Abierto,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
55,0_6_6,30.10047492368157,43,Pastizal Cerrado,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
56,0_6_7,3.528387646454216,57,Cultivos Simples,6.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Vallegrande
57,0_7_0,126.7035999776384,3,Leñosas Cerradas,7.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Carmen Rivero Torrez
58,0_7_1,0.0432002111816406,4,Leñosas Abiertas,7.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Carmen Rivero Torrez
59,0_7_2,0.0609819360351562,6,Leñosas Inundables,7.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Carmen Rivero Torrez
60,0_7_3,0.0067763665771484,25,Otras Areas No Vegetadas,7.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Carmen Rivero Torrez
61,0_7_4,0.0965642569580077,26,Cuerpo de agua,7.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,Carmen Rivero Torrez
62,0_8_0,737.8776840024943,3,Leñosas Cerradas,8.0,col5-v2-bol-level_3-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,Santa Cruz,El Torno
