,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_1,LEVEL_2,LEVEL_3
0,0_0_0,115996.6157154638,3,Leñosas Cerradas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
1,0_0_1,3918.9830366693473,4,Leñosas Abiertas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
2,0_0_2,212.93838078697823,6,Leñosas Inundables,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
3,0_0_3,15.647604319668645,11,Pastizal Inundable,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
4,0_0_4,285.79001146415175,15,Pasturas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
5,0_0_5,330.3519182362382,23,Playa y Dunas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
6,0_0_6,46.66421784450498,24,Infraestructura Urbana,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
7,0_0_7,6.353360433834773,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
8,0_0_8,415.09841159061534,26,Cuerpo de agua,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
9,0_0_9,1.2665214423217763,32,Salinas,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
10,0_0_10,0.1059307541503906,36,Cultivos Arbustivos,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
11,0_0_11,183.40206461482447,42,Pastizal Abierto,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
12,0_0_12,491.852577163984,43,Pastizal Cerrado,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
13,0_0_13,668.1804348902951,57,Cultivos Simples,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
14,0_0_14,0.0348874106445312,58,Cultivos Multiples,0.0,col5-v2-bol-level_1-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
15,1_0_0,116103.86815284798,3,Leñosas Cerradas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
16,1_0_1,3764.371599753613,4,Leñosas Abiertas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
17,1_0_2,206.25381330393265,6,Leñosas Inundables,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
18,1_0_3,16.4189580334681,11,Pastizal Inundable,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
19,1_0_4,286.91747256511223,15,Pasturas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
20,1_0_5,319.0010832102788,23,Playa y Dunas,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
21,1_0_6,55.53017778986611,24,Infraestructura Urbana,0.0,col5-v2-bol-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Bolivia,,
