system:index,area,class_id,class_name,territory,version,year,.geo
0_0_0,9128.06043778582,3,Leñosas Cerradas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_1,142.58944472633928,4,Leñosas Abiertas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_2,2.025768869201669,6,Leñosas Inundables,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_3,1.6658908209838854,11,Pastizal Inundable,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_4,0.27897997412109377,15,Pasturas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_5,5.950840344705267,23,Playa y Dunas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_6,0.4334875894775369,24,Infraestructura Urbana,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_7,0.6239540952787513,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_8,8.150857185746261,26,Cuerpo de agua,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_9,0.010906001831054685,36,Cultivos Arbustivos,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_10,1.0964641733230889,42,Pastizal Abierto,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_11,87.6861369647909,43,Pastizal Cerrado,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_0_12,54.31867778377614,57,Cultivos Simples,0.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_0,91291.72015900521,3,Leñosas Cerradas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_1,3423.9535165423104,4,Leñosas Abiertas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_2,210.42712856926872,6,Leñosas Inundables,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_3,3.4842655627460632,11,Pastizal Inundable,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_4,285.4113849656038,15,Pasturas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_5,254.33123682948676,23,Playa y Dunas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_6,44.70370848849434,24,Infraestructura Urbana,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_7,3.2158418804596547,25,Otras Areas No Vegetadas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_8,257.5945355951815,26,Cuerpo de agua,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_9,1.266521442321776,32,Salinas,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_10,0.09502475231933591,36,Cultivos Arbustivos,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_11,181.0545630246767,42,Pastizal Abierto,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_12,357.34100747762824,43,Pastizal Cerrado,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_13,461.2226762894827,57,Cultivos Simples,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_1_14,0.03488741064453125,58,Cultivos Multiples,1.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_0,15576.835490236357,3,Leñosas Cerradas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_1,352.440075400704,4,Leñosas Abiertas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_2,0.48548334850786984,6,Leñosas Inundables,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_3,10.497447935938697,11,Pastizal Inundable,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_4,0.09964652442674822,15,Pasturas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_5,70.0698610875061,23,Playa y Dunas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_6,1.527021766533104,24,Infraestructura Urbana,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_7,2.513564458096368,25,Otras Areas No Vegetadas,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_8,149.3530554040862,26,Cuerpo de agua,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_9,1.2510341364164477,42,Pastizal Abierto,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_10,46.825472244150056,43,Pastizal Cerrado,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
0_2_11,152.63907086070247,57,Cultivos Simples,2.0,col5-v2-bol-level_2-FINAL,1985,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_0,9121.496866592597,3,Leñosas Cerradas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_1,128.28765563003398,4,Leñosas Abiertas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_2,1.954658111206063,6,Leñosas Inundables,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_3,1.6642187789916978,11,Pastizal Inundable,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_4,0.06868812408447265,15,Pasturas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_5,4.510540865800922,23,Playa y Dunas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_6,0.4612711488037087,24,Infraestructura Urbana,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_7,0.6634655933256267,25,Otras Areas No Vegetadas,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_8,8.114353324400907,26,Cuerpo de agua,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_9,1.0605484084740735,42,Pastizal Abierto,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_10,81.81548686370297,43,Pastizal Cerrado,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_0_11,82.79409287400283,57,Cultivos Simples,0.0,col5-v2-bol-level_2-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
