,system:index,area,class_id,class_name,territory,version,year,.geo,LEVEL_0,LEVEL_1
29,1_0_12,25637.65930511132,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
30,1_0_13,696.6214159319815,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
31,1_0_14,14480.880373858286,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
32,1_0_15,39152.73688219056,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
33,1_0_16,36.67228549408965,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1986,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
34,2_0_0,372053.59285117127,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
35,2_0_1,70131.69482384421,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
36,2_0_2,22456.021781071253,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
37,2_0_3,706.406775559779,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
38,2_0_4,68916.71872347522,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
39,2_0_5,13980.4209005813,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
40,2_0_6,501.0878704805739,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
41,2_0_7,1538.545139207631,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
42,2_0_8,352.79259702067884,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
43,2_0_9,7282.120717313786,26,Cuerpo de agua,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
44,2_0_10,4898.611191990909,32,Salinas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
45,2_0_11,6734.87714794825,42,Pastizal Abierto,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
46,2_0_12,26688.896699041445,43,Pastizal Cerrado,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
47,2_0_13,697.9541188831814,44,Pastizal Disperso,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
48,2_0_14,14417.177776434006,45,Leñosas Dispersas,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
49,2_0_15,34164.32878714207,57,Cultivos Simples,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
50,2_0_16,5611.45574619481,58,Cultivos Multiples,0.0,col5-v2-arg-level_1-FINAL,1987,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
51,3_0_0,368172.3748969511,3,Leñosas Cerradas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
52,3_0_1,71668.38819000132,4,Leñosas Abiertas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
53,3_0_2,22533.887851250187,6,Leñosas Inundables,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
54,3_0_3,626.2937769842447,9,Leñosas Cultivadas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
55,3_0_4,67895.6145248687,11,Pastizal Inundable,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
56,3_0_5,14005.935446259837,15,Pasturas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
57,3_0_6,418.6632324254567,23,Playa y Dunas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
58,3_0_7,1539.6074131024052,24,Infraestructura Urbana,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
59,3_0_8,242.14542137491765,25,Otras Areas No Vegetadas,0.0,col5-v2-arg-level_1-FINAL,1988,"{""type"":""Point"",""coordinates"":[0.0,0.0]}",Chaco,Argentina
